待修复,编号,测试人员,维修人员,日期,系统,功能优化,快显消息管理,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,,,,
TRUE,,东蔚,,2020/5/8,iOS,逻辑错误,快显消息管理,在快显消息中使用右上角【编辑】后，点击左上角返回，返回到加V电话首页，且再次点击底部【消息】，直接进入【快显消息】界面,,最重要,,,,非bug,,,,,,
FALSE,,丹丽,,2020/5/8,,功能缺失,,"【缺失功能】收件人输入框监测到用户已输入11个数字，自动加""、""区隔，进入下个号码输入",,最重要,,,,"部分手机如+86不止11位，已有按空格自动分割的功能
非bug",,,,,,
FALSE,,丹丽,,2020/5/8,iOS,逻辑错误,快显消息管理,"不同手机登录同个账户，快显的发送记录没有同步
期望可以同步",,最重要,验证通过,,,"测试时间：2020.05.11 10:42
测试验证已修复，待产品确认",,,,,,
FALSE,,少东,,2020/5/8,Android,逻辑错误,本地短信接管,点击更多-管理设置，进入管理设置页面，重要待办分组显示错别字，显示为重要代办分组,,一般,验证通过,,,"测试时间：2020.05.09 15:11
测试验证已修复，待产品确认",,,,,,
FALSE,,清云,,2020/5/8,Android,逻辑错误,快显消息管理,发送快显消息-消息模板库，点击新建模板，添加成功审核通过，选择任意一个模板，出现APP闪退,,最重要,验证通过,,,"测试时间：2020.05.11 10:43
测试验证已修复，待产品确认",,,,,,
FALSE,,广榕,,2020/5/8,Android,逻辑错误,快显消息管理,快显消息发送/审核界面-取消按钮点击无反应,,最重要,验证通过,,,"测试时间：2020.05.09 16:58
测试验证通过，待产品确认",,,,,,
TRUE,,广榕,,2020/5/8,Android,功能缺失,快显消息管理,部分消息无法送达，点击查看详情，进入的界面没有展示发送失败的用户号码和没有补发普通短信按钮,,最重要,验证不通过,,,没有展示发送失败的号码，且补发普通短信没有把失败号码填进收件人,,,,,,
FALSE,,清云,,2020/5/8,Android,逻辑错误,快显消息管理,快显消息-已接收消息，选中消息进入消息详情页，点击拨号或添加联系人，获取到的不是手机号码,,最重要,验证通过,,,"测试时间：2020.05.09 16:55
测试验证通过，待产品确认",,,,,,
FALSE,,广榕,,2020/5/8,Android,逻辑错误,快显消息管理,快显消息界面，点击快显消息-再点击右上角的拨号界面，获取到的号码是加密后的字符串,,最重要,验证通过,,,"测试时间：2020.05.09 16:54
测试验证通过，待产品确认",,,,,,
FALSE,,广榕,,2020/5/8,Android,逻辑错误,本地短信接管,获取本地消息权限后，只获取当前的本地消息，若有新消息不显示，但通过搜索可以搜索到新短信,,最重要,验证通过,,,"测试时间：2020.05.12 14:13
测试验证通过，待产品确认",,,,,,
FALSE,,广榕,,2020/5/8,Android,逻辑错误,快显消息管理,快显消息发送-快显消息发送/审核界面，返回发送快显消息界面（收件人只有一个），再次点击发送，快显消息发送/审核界面显示的是有3个接收号码且是同一个号码,,最重要,验证通过,,,"测试时间：2020.05.12 14:13
测试验证通过，待产品确认",,,,,,
FALSE,,广榕,,2020/5/8,Android,逻辑错误,快显消息管理,快显消息发送-使用我的审核模板，快显消息发送按钮是置灰的,,最重要,验证通过,,,"测试时间：2020.05.09 15:53
测试验证通过，待产品确认",,,,,,
TRUE,,,,,Android,功能优化,快显消息管理,用户输入收件人数超过单日可发送次数后，显示的提示语，当用户删除部分收件人，且人数已经<可发送数是，隐藏提示语,,一般,,,,未复现，非bug,,,,,,
FALSE,,清云,,2020/5/9,Android,逻辑错误,快显消息管理,发送快显消息-消息模板库，模板审核中可选择使用，预期是模板不可使用，等待审核完成,,最重要,验证通过,,,"测试时间：2020.05.11 09:49
测试验证通过，待产品确认",,,,,,
FALSE,,清云,,2020/5/9,Android,功能优化,快显消息管理,发送快显消息-消息模板库，我的模板选中模板左滑，点击修改按钮，修改内容完成后，左滑按钮没有消失，停留在界面,,一般,待修复,,,后续优化,, ,,,,
